"PLOT_GL","GREEN1","GREEN50","EMER1","EMER50","FLWR1","FLWR50"
"K1001",NA,51,NA,NA,NA,NA
"K1002",NA,71,"104","110",111,117
"K1003",NA,64,"95","110",111,117
"K1004",NA,49,"104","110",111,120
"K1005",NA,64,"108","117",120,127
"K1006",NA,64,"95","106",111,113
"K1007",NA,64,"110","127",120,130
"K1008",NA,64,"113","120",125,132
"K1009",NA,64,"95","106",111,111
"K1010",NA,57,"95","106",111,113
"K1011",NA,67,"95","106",111,113
"K1012",NA,67,"104","106",111,117
"K1013",NA,64,"95","106",111,111
"K1014",NA,67,"104","106",111,113
"K1015",NA,67,"95","106",111,111
"K1016",NA,71,"113","123",123,134
"K1017",NA,64,"104","106",111,111
"K1018",NA,64,"104","106",111,113
"K1019",NA,57,"95","106",111,111
"K1101",NA,71,"95","106",111,113
"K1102",NA,57,"95","106",111,113
"K1103",NA,64,"95","106",111,111
"K1104",NA,64,"95","106",111,113
"K1105",NA,49,"95","106",111,111
"K1106",NA,71,"104","110",111,125
"K1107",NA,45,"95","106",111,111
"K1108",NA,64,"95","106",111,113
"K1109",NA,67,"110","113",117,125
"K1110",NA,64,"95","106",111,111
"K1111",NA,64,"95","106",111,113
"K1112",NA,64,"104","106",111,113
"K1113",NA,64,"104","106",111,113
"K1114",NA,57,"95","106",111,113
"K1115",NA,64,"104","106",111,113
"K1116",NA,71,"117","137",127,158
"K1117",NA,57,"95","106",111,111
"K1118",NA,64,"110","123",120,139
"K1119",NA,39,"95","106",111,111
"K1120",NA,57,"95","106",111,111
"K1201",NA,64,"95","106",111,111
"K1202",NA,67,"95","106",111,117
"K1203",NA,64,"95","106",111,111
"K1204",NA,64,"95","106",111,111
"K1205",NA,52,"95","106",111,113
"K1206",NA,64,"104","106",111,113
"K1207",NA,64,"104","110",117,127
"K1208",NA,64,"95","106",111,111
"K1209",NA,64,"95","106",111,111
"K1210",NA,67,"104","106",111,111
"K1211",NA,67,"104","110",111,123
"K1212",NA,71,NA,NA,NA,NA
"K1213",NA,64,"104","110",111,120
"K1214",NA,52,"95","106",111,111
"K1215",NA,52,"95","106",111,120
"K1216",NA,64,"95","106",111,111
"K1217",NA,67,"104","104",113,113
"K1218",NA,57,"95","110",111,113
"K1219",NA,57,"95","106",111,111
"K1301",NA,67,"104","106",111,113
"K1302",NA,71,"117","132",130,148
"K1303",NA,71,"104","113",120,125
"K1304",NA,NA,NA,NA,NA,NA
"K1305",NA,64,"95","106",111,120
"K1306",NA,51,"95","106",111,111
"K1307",NA,51,"95","106",111,111
"K1308",NA,71,"104","110",111,123
"K1309",NA,64,"95","106",111,111
"K1310",NA,71,NA,NA,NA,NA
"K1311",NA,50,"95","106",111,111
"K1312",NA,64,"95","106",111,111
"K1313",NA,52,"95","106",111,111
"K1314",NA,64,"95","106",111,111
"K1315",NA,57,"95","106",111,111
"K1316",NA,64,"95","106",111,117
"K1317",NA,64,"104","106",117,125
"K1318",NA,64,"110","117",120,125
"K1319",NA,67,"110","120",120,123
"K1320",NA,67,"95","106",111,120
"K1401",NA,64,"95","106",111,111
"K1402",NA,67,"95","106",111,111
"K1403",NA,67,"95","106",111,111
"K1404",NA,64,"104","106",111,113
"K1405",NA,57,"104","106",111,117
"K1406",NA,71,"104","117",120,123
"K1407",NA,57,"104","106",113,117
"K1408",NA,67,"104","106",111,113
"K1409",NA,64,"104","110",111,113
"K1410",NA,64,"95","106",111,111
"K1411",NA,64,"95","106",111,111
"K1412",NA,71,"123","146",139,158
"K1413",NA,64,"104","106",111,113
"K1414",NA,45,"172","174",193,NA
"K1415",NA,64,"95","106",111,111
"K1416",NA,64,"95","106",111,111
"K1417",NA,64,"95","106",111,111
"K1418",NA,52,"95","106",111,111
"K1419",NA,64,"95","106",111,111
"K1501",NA,71,"95","106",111,113
"K1502",NA,67,"104","106",117,117
"K1503",NA,71,"110","110",117,123
"K1504",NA,64,"95","106",111,111
"K1505",NA,64,"95","106",111,113
"K1506",NA,64,"95","106",111,111
"K1507",NA,51,"95","106",111,111
"K1508",NA,67,"104","106",111,113
"K1509",NA,67,"104","106",111,111
"K1510",NA,35,"95","106",111,111
"K1511",NA,64,"104","106",111,117
"K1512",NA,64,"104","106",111,111
"K1513",NA,41,"104","110",111,228
"K1514",NA,67,"95","106",111,117
"K1515",NA,49,"95","106",111,111
"K1516",NA,71,"104","117",113,117
"K1517",NA,57,"117","117",120,120
"K1518",NA,71,"104","117",113,117
"K1519",NA,64,"95","117",111,127
"K1520",NA,67,"95","106",111,111
"K1601",NA,67,"104","123",111,141
"K1602",NA,49,"95","106",111,111
"K1603",NA,64,"95","106",111,111
"K1604",NA,67,"95","106",111,111
"K1605",NA,64,"95","117",111,125
"K1606",NA,64,"95","106",111,111
"K1607",NA,67,"104","110",111,117
"K1608",NA,64,"104","106",111,113
"K1609",NA,67,"95","106",111,111
"K1610",NA,57,"95","106",111,111
"K1611",NA,67,"95","110",111,113
"K1612",NA,64,"104","106",111,117
"K1613",NA,64,"95","110",111,117
"K1614",NA,67,"104","106",111,113
"K1615",NA,67,"95","110",111,113
"K1616",NA,57,"95","106",111,111
"K1617",NA,64,"95","106",111,111
"K1618",NA,64,"95","106",111,111
"K1619",NA,57,"104","117",117,127
"K1701",NA,67,"104","117",113,127
"K1702",NA,67,"110","117",120,123
"K1703",NA,67,"95","106",111,111
"K1704",NA,64,"95","106",111,111
"K1705",NA,67,"117","127",127,144
"K1706",NA,57,"95","106",111,113
"K1707",NA,64,"95","106",111,111
"K1708",NA,39,"95","106",111,111
"K1709",NA,64,"95","106",111,111
"K1710",NA,64,"104","110",113,120
"K1711",NA,64,"95","106",111,111
"K1712",NA,64,"95","106",111,113
"K1713",NA,64,"95","106",111,111
"K1714",NA,64,"95","106",111,111
"K1715",NA,45,"95","106",111,111
"K1716",NA,64,"104","106",111,113
"K1717",NA,67,"95","106",111,111
"K1718",NA,57,"95","106",111,113
"K1719",NA,64,"110","123",120,144
"K1720",NA,64,"95","106",111,111
"K1801",NA,64,"95","106",111,111
"K1802",NA,64,"104","106",111,113
"K1803",NA,64,"95","106",111,111
"K1804",NA,64,"104","106",111,111
"K1805",NA,67,"95","106",111,111
"K1806",NA,64,"95","106",111,113
"K1807",NA,64,"104","106",111,120
"K1808",NA,52,"95","106",111,111
"K1809",NA,64,"117","127",123,144
"K1810",NA,64,"104","110",111,120
"K1811",NA,64,"95","106",111,111
"K1812",NA,71,"104","110",117,117
"K1813",NA,64,"104","106",111,111
"K1814",NA,71,"104","104",120,120
"K1815",NA,67,"95","106",111,111
"K1816",NA,67,"117","130",120,134
"K1817",NA,67,"95","106",111,111
"K1818",NA,64,"95","106",111,111
"K1819",NA,67,"95","106",111,111
"K1901",NA,64,"95","106",111,111
"K1902",NA,64,"95","106",111,111
"K1903",NA,57,"172","172",216,NA
"K1904",NA,64,"95","106",111,111
"K1905",NA,64,"104","106",111,111
"K1906",NA,67,"104","106",113,113
"K1907",NA,64,"104","106",111,113
"K1908",NA,67,"95","106",111,111
"K1909",NA,57,"95","106",111,123
"K1910",NA,64,"95","106",111,111
"K1911",NA,71,"110","130",120,144
"K1912",NA,64,"95","106",111,111
"K1913",NA,64,"95","106",111,111
"K1914",NA,67,"104","106",111,111
"K1915",NA,67,"95","106",111,111
"K1916",NA,64,"95","106",111,111
"K1917",NA,35,"95","106",111,111
"K1918",NA,64,"95","106",111,111
"K1919",NA,64,"95","106",111,113
"K1920",NA,71,"104","110",111,113
"K2001",NA,71,"110","120",120,130
"K2002",NA,71,"117","117",123,123
"K2003",NA,57,"104","110",113,123
"K2004",NA,64,"95","106",111,111
"K2005",NA,67,"104","110",111,120
"K2006",NA,71,"95","110",111,113
"K2007",NA,71,"104","110",111,113
"K2008",NA,64,"95","110",111,113
"K2009",NA,64,"95","106",111,111
"K2010",NA,67,"110","132",120,148
"K2011",NA,52,"95","106",111,111
"K2012",NA,52,"95","106",111,111
"K2013",NA,64,"95","106",111,113
"K2014",NA,67,"104","110",111,117
"K2015",NA,67,"95","106",111,111
"K2016",NA,67,"104","106",111,113
"K2017",NA,67,"104","106",111,113
"K2018",NA,64,"104","110",111,117
"K2019",NA,64,"95","106",111,113
"K2101",NA,67,"117","123",120,132
"K2102",NA,67,"117","117",123,130
"K2103",NA,71,"104","106",113,113
"K2104",NA,67,"95","106",111,111
"K2105",NA,71,"117","117",123,123
"K2106",NA,53,"95","106",111,113
"K2107",NA,64,"95","106",111,111
"K2108",NA,67,"104","106",111,113
"K2109",NA,64,"104","106",111,113
"K2110",NA,64,"95","106",111,111
"K2111",NA,67,"117","127",125,144
"K2112",NA,64,"104","123",113,127
"K2113",NA,71,"117","120",123,130
"K2114",NA,57,"95","106",111,111
"K2115",NA,64,"95","106",111,111
"K2116",NA,52,"95","106",111,111
"K2117",NA,67,"110","110",113,117
"K2118",NA,67,"95","106",111,111
"K2119",NA,67,"104","117",113,120
"K2120",NA,67,"95","106",111,111
"K2201",NA,64,"95","106",111,111
"K2202",NA,64,"95","106",111,111
"K2203",NA,67,"104","117",113,125
"K2204",NA,71,"110","125",117,139
"K2205",NA,NA,NA,NA,NA,NA
"K2206",NA,51,"95","117",113,125
"K2207",NA,64,"95","106",111,113
"K2208",NA,67,"95","106",111,111
"K2209",NA,71,"104","110",113,117
"K2210",NA,64,"95","106",111,113
"K2211",NA,71,"95","106",111,111
"K2212",NA,64,"104","106",111,111
"K2213",NA,67,"104","110",113,123
"K2214",NA,67,"123","144",137,158
"K2215",NA,64,"95","106",111,111
"K2216",NA,64,"95","106",111,111
"K2217",NA,57,"95","110",111,113
"K2218",NA,71,"110","120",120,137
"K2219",NA,52,"95","106",111,113
"K2301",NA,47,"95","106",111,111
"K2302",NA,64,"95","106",111,111
"K2303",NA,64,"95","106",111,111
"K2304",NA,64,"95","106",111,111
"K2305",NA,67,"110","110",113,120
"K2306",NA,67,"110","120",120,130
"K2307",NA,64,"95","106",111,111
"K2308",NA,67,"104","106",111,113
"K2309",NA,71,"104","106",117,117
"K2310",NA,64,"104","106",113,117
"K2311",NA,67,"104","106",111,111
"K2312",NA,57,"95","106",111,111
"K2313",NA,47,"95","106",111,111
"K2314",NA,67,"95","106",111,111
"K2315",NA,68,"106","110",111,113
"K2316",NA,69,"104","110",117,228
"K2317",NA,70,"104","110",113,123
"K2318",NA,71,"110","117",120,123
"K2319",NA,72,"95","106",111,111
"K2320",NA,73,"104","117",111,127
"K2401",NA,67,"95","106",111,111
"K2402",NA,67,"104","110",111,120
"K2403",NA,67,"104","106",111,113
"K2404",NA,67,"95","106",111,111
"K2405",NA,77,"110","117",120,127
"K2406",NA,35,"95","187",111,228
"K2407",NA,64,"95","106",111,113
"K2408",NA,67,"95","106",111,111
"K2409",NA,89,"117","120",130,134
"K2410",NA,44,"95","110",111,113
"K2411",NA,64,"104","106",111,113
"K2412",NA,64,"95","106",111,111
"K2413",NA,64,"104","106",111,113
"K2414",NA,57,"95","123",111,132
"K2415",NA,67,"104","110",111,125
"K2416",NA,67,"95","106",111,111
"K2417",NA,64,"95","106",111,111
"K2418",NA,57,"110","117",120,123
"K2419",NA,67,"104","110",111,111
"K2501",NA,67,"104","110",111,117
"K2502",NA,67,"95","106",111,113
"K2503",NA,71,"104","117",111,123
"K2504",NA,67,"104","106",111,113
"K2505",NA,77,"110","117",117,127
"K2506",NA,64,"104","106",111,111
"K2507",NA,71,"104","106",113,113
"K2508",NA,67,"95","106",111,111
"K2509",NA,64,"104","106",111,113
"K2510",NA,NA,NA,NA,NA,NA
"K2511",NA,64,"104","106",111,113
"K2512",NA,71,"104","117",111,127
"K2513",NA,67,"104","110",113,117
"K2514",NA,71,"95","106",111,111
"K2515",NA,64,"95","106",111,111
"K2516",NA,64,"95","106",111,111
"K2517",NA,57,"104","106",111,113
"K2518",NA,67,"95","106",111,111
"K2519",NA,71,"104","117",113,120
"K2520",NA,67,"104","110",111,117
"K2601",NA,71,"104","106",111,117
"K2602",NA,67,"104","110",113,117
"K2603",NA,71,"104","117",113,127
"K2604",NA,67,"95","106",111,113
"K2605",NA,64,"104","106",111,113
"K2606",NA,67,"104","110",111,123
"K2607",NA,67,"104","106",111,113
"K2608",NA,64,"95","106",111,111
"K2609",NA,67,"104","106",111,113
"K2610",NA,52,"117","132",127,151
"K2611",NA,52,"104","106",111,111
"K2612",NA,64,"95","106",111,111
"K2613",NA,67,"104","106",111,111
"K2614",NA,67,NA,"106",113,117
"K2615",NA,33,"104","187",113,NA
"K2616",NA,71,"104","117",113,127
"K2617",NA,64,"104","110",111,113
"K2618",NA,71,"120","125",132,134
"K2619",NA,67,"95","106",111,111
"K2701",NA,64,"95","95",111,111
"K2702",NA,71,"104","110",111,120
"K2703",NA,71,"117","123",123,139
"K2704",NA,77,"110","120",117,130
"K2705",NA,67,"104","110",113,113
"K2706",NA,67,"104","110",111,113
"K2707",NA,67,"104","106",111,113
"K2708",NA,NA,NA,NA,NA,NA
"K2709",NA,64,"104","110",113,117
"K2710",NA,64,"104","106",113,117
"K2711",NA,52,"95","106",111,113
"K2712",NA,67,"95","106",111,113
"K2713",NA,71,"104","106",111,123
"K2714",NA,64,"120","187",134,230
"K2715",NA,77,"110","117",117,127
"K2716",NA,77,"117","117",120,127
"K2717",NA,64,"117","123",123,134
"K2718",NA,67,"95","106",111,111
"K2719",NA,71,"104","117",117,127
"K2720",NA,67,"104","106",111,113
"K2801",NA,57,"95","106",111,111
"K2802",NA,71,"110",NA,120,123
"K2803",NA,64,"117","125",123,141
"K2804",NA,67,"117","120",123,134
"K2805",NA,77,"110","117",117,127
"K2806",NA,67,"104","110",111,113
"K2807",NA,64,"104","106",111,111
"K2808",NA,41,"95","187",113,NA
"K2809",NA,71,"104","110",113,113
"K2810",NA,67,"104","110",113,117
"K2811",NA,67,"104","106",111,120
"K2812",NA,71,"95","106",111,113
"K2813",NA,67,"95","110",111,111
"K2814",NA,64,"104","110",111,120
"K2815",NA,67,"110","110",113,120
"K2816",NA,67,"104","110",111,113
"K2817",NA,71,"117","123",123,132
"K2818",NA,67,"104","106",113,117
"K2819",NA,71,"110","117",117,127
"K2901",NA,67,"95","106",111,113
"K2902",NA,77,"110","117",117,125
"K2903",NA,67,"104","117",113,123
"K2904",NA,67,"104","110",113,113
"K2905",NA,64,"104","110",111,113
"K2906",NA,71,"104","117",111,120
"K2907",NA,64,"95","110",111,111
"K2908",NA,52,"104","106",117,141
"K2909",NA,67,"104","106",111,123
"K2910",NA,57,"104","110",111,113
"K2911",NA,71,"104","110",111,117
"K2912",NA,71,"95","106",111,111
"K2913",NA,71,"95","106",111,113
"K2914",NA,71,"110","117",120,130
"K2915",NA,64,"104","110",111,113
"K2916",NA,64,"104","106",111,113
"K2917",NA,57,"104","110",113,123
"K2918",NA,67,"104","106",111,117
"K2919",NA,71,"110","117",117,120
"K2920",NA,67,"104","110",111,120
"K3001",NA,71,"104","110",111,111
"K3002",NA,67,"95","106",111,111
"K3003",NA,57,"104","106",111,113
"K3004",NA,64,"104","117",111,117
"K3005",NA,77,"123","148",137,158
"K3006",NA,57,"95","106",111,111
"K3007",NA,71,"104","106",111,113
"K3008",NA,67,"95","106",111,111
"K3009",NA,42,"104","110",117,120
"K3010",NA,67,"104","104",111,117
"K3011",NA,71,"123","134",134,158
"K3012",NA,NA,NA,NA,NA,NA
"K3013",NA,64,"95","106",111,111
"K3014",NA,64,"104","100",111,111
"K3015",NA,57,"95","106",111,111
"K3016",NA,33,"104","187",113,230
"K3017",NA,67,"104","106",111,113
"K3018",NA,67,"95","106",111,111
"K3019",NA,67,NA,NA,NA,NA
"K3101",NA,71,"104","106",111,113
"K3102",NA,64,"104","110",111,113
"K3103",NA,71,"104","106",111,117
"K3104",NA,71,"104","110",111,130
"K3105",NA,77,"117","120",123,127
"K3106",NA,57,"95","106",111,111
"K3107",NA,64,"95","106",111,111
"K3108",NA,67,"104","106",111,111
"K3109",NA,77,"117","117",123,127
"K3110",NA,77,"117","125",127,139
"K3111",NA,42,"104","110",113,123
"K3112",NA,67,"104","110",111,113
"K3113",NA,77,"110","117",113,123
"K3114",NA,67,"110","110",117,120
"K3115",NA,64,"117","117",120,120
"K3116",NA,71,"104","117",111,123
"K3117",NA,49,"95","106",111,113
"K3118",NA,67,"104","106",111,113
"K3119",NA,64,"104","106",111,111
"K3120",NA,64,"95","106",111,111
"K3201",NA,67,"104","117",113,125
"K3202",NA,67,"95","106",111,111
"K3203",NA,64,"104","110",111,113
"K3204",NA,64,"95","106",111,111
"K3205",NA,77,"117","120",127,130
"K3206",NA,67,"117","120",125,139
"K3207",NA,71,"95","106",111,111
"K3208",NA,64,"95","106",111,111
"K3209",NA,64,"95","106",111,113
"K3210",NA,71,"104","110",111,123
"K3211",NA,51,"104","117",113,125
"K3212",NA,71,"110","117",120,127
"K3213",NA,77,"117","117",120,125
"K3214",NA,64,"95","106",111,111
"K3215",NA,64,"104","106",111,113
"K3216",NA,57,"95","106",111,111
"K3217",NA,71,"104","110",111,111
"K3218",NA,67,"104","106",111,113
"K3219",NA,67,"104","117",113,134
"K3301",NA,67,"95","106",111,111
"K3302",NA,71,"104","106",111,120
"K3303",NA,64,"104","106",111,113
"K3304",NA,67,"95","106",111,113
"K3305",NA,67,"110","117",120,123
"K3306",NA,64,"104","110",111,111
"K3307",NA,67,"104","106",111,111
"K3308",NA,71,"95","106",111,113
"K3309",NA,67,"95","106",111,111
"K3310",NA,67,"95","106",111,111
"K3311",NA,67,"104","110",111,123
"K3312",NA,41,"117","187",120,228
"K3313",NA,67,"104","106",111,111
"K3314",NA,71,"104","106",111,113
"K3315",NA,64,"104","110",113,120
"K3316",NA,64,"110","127",127,151
"K3317",NA,67,"110","117",120,123
"K3318",NA,57,"104","106",113,125
"K3319",NA,67,"104","110",113,120
"K3320",NA,67,"104","106",111,113
